title,text,label
NASA confirms water on Mars,"New study shows water traces on Mars.",REAL
Celebrity adopts alien baby,"Photos show a celebrity holding an alien baby. Scientists deny authenticity.",FAKE
Local election results declared,"Incumbent wins by narrow margin after recount.",REAL
Miracle cure for diabetes found,"Secret ancient herb claims to cure all stages of diabetes instantly.",FAKE
New tech boosts phone battery life,"Researchers develop new chip that increases battery efficiency by 20%.",REAL
Bank offers 1000% interest scheme,"Social media users claim a bank is offering 1000 percent interest. Officials say it's fake.",FAKE
City opens new metro line,"First phase of the metro is opened to the public today.",REAL
Drink this juice and lose 10kg in a week,"Doctors shocked by viral juice hack promising fast weight loss.",FAKE
Government launches new digital payment system,"The finance department announced a new secure digital payment platform.",REAL
Man claims to time travel to 3020,"Viral video shows man claiming he visited the year 3020 and met aliens.",FAKE
